,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked
891,3.0,638.0,1.0,34.5,0.0,0.0,376.0,7.8292,186.0,1.0
892,3.0,1266.0,0.0,47.0,1.0,0.0,582.0,7.0,186.0,2.0
893,2.0,837.0,1.0,62.0,0.0,0.0,184.0,9.6875,186.0,1.0
894,3.0,1278.0,1.0,27.0,0.0,0.0,366.0,8.6625,186.0,2.0
895,3.0,543.0,0.0,22.0,1.0,1.0,338.0,12.2875,186.0,2.0
896,3.0,1160.0,1.0,14.0,0.0,0.0,692.0,9.225,186.0,2.0
897,3.0,261.0,0.0,30.0,0.0,0.0,389.0,7.6292,186.0,1.0
898,2.0,185.0,1.0,26.0,1.0,1.0,211.0,29.0,186.0,2.0
899,3.0,9.0,0.0,18.0,0.0,0.0,251.0,7.2292,186.0,0.0
900,3.0,308.0,1.0,21.0,2.0,0.0,714.0,24.15,186.0,2.0
901,3.0,573.0,1.0,29.881137667304014,0.0,0.0,503.0,7.8958,186.0,2.0
902,1.0,610.0,1.0,46.0,0.0,0.0,687.0,26.0,186.0,2.0
903,1.0,1122.0,0.0,23.0,1.0,0.0,131.0,82.2667,41.0,2.0
904,2.0,562.0,1.0,63.0,1.0,0.0,185.0,26.0,186.0,2.0
905,1.0,220.0,0.0,47.0,1.0,0.0,926.0,61.175,154.0,2.0
906,2.0,1302.0,0.0,24.0,1.0,0.0,866.0,27.7208,186.0,0.0
907,2.0,633.0,1.0,35.0,0.0,0.0,153.0,12.35,186.0,1.0
908,3.0,66.0,1.0,21.0,0.0,0.0,287.0,7.225,186.0,0.0
909,3.0,574.0,0.0,27.0,1.0,0.0,911.0,7.925,186.0,2.0
910,3.0,65.0,0.0,45.0,0.0,0.0,291.0,7.225,186.0,0.0
911,1.0,1027.0,1.0,55.0,1.0,0.0,819.0,59.4,186.0,0.0
912,3.0,892.0,1.0,9.0,0.0,1.0,741.0,3.1708,186.0,2.0
913,1.0,385.0,0.0,29.881137667304014,0.0,0.0,815.0,31.6833,186.0,2.0
914,1.0,1274.0,1.0,21.0,0.0,1.0,814.0,61.3792,186.0,0.0
915,1.0,1039.0,0.0,48.0,1.0,3.0,824.0,262.375,47.0,0.0
916,3.0,1011.0,1.0,50.0,1.0,0.0,735.0,14.5,186.0,2.0
917,1.0,906.0,0.0,22.0,0.0,1.0,39.0,61.9792,34.0,0.0
918,3.0,288.0,1.0,22.5,0.0,0.0,293.0,7.225,186.0,0.0
919,1.0,151.0,1.0,41.0,0.0,0.0,32.0,30.5,7.0,2.0
920,3.0,1063.0,1.0,29.881137667304014,2.0,0.0,256.0,21.6792,186.0,0.0
921,2.0,725.0,1.0,50.0,1.0,0.0,856.0,26.0,186.0,2.0
922,2.0,585.0,1.0,24.0,2.0,0.0,759.0,31.5,186.0,2.0
923,3.0,318.0,0.0,33.0,1.0,2.0,750.0,20.575,186.0,2.0
924,3.0,609.0,0.0,29.881137667304014,1.0,2.0,923.0,23.45,186.0,2.0
925,1.0,807.0,1.0,30.0,1.0,0.0,91.0,57.75,102.0,0.0
926,3.0,630.0,1.0,18.5,0.0,0.0,277.0,7.2292,186.0,0.0
927,3.0,1025.0,0.0,29.881137667304014,0.0,0.0,406.0,8.05,186.0,2.0
928,3.0,178.0,0.0,21.0,0.0,0.0,351.0,8.6625,186.0,2.0
